study_hours,class_attendance,sleep_hours,gender_male,gender_other,course_b.sc,course_b.tech,course_ba,course_bba,course_bca,course_diploma,internet_access_yes,sleep_quality_good,sleep_quality_poor,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study,facility_rating_low,facility_rating_medium,exam_difficulty_hard,exam_difficulty_moderate,exam_score
-0.02495543,-0.006791237,-0.293618,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.45413405
-1.467603542,1.578688997,-1.390586304,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-0.117052192
1.69062611,-0.787958505,-1.101910435,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.993587723
-1.684217373,-1.551766501,-0.697764218,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1.333467337
-0.020623153,0.838026698,-0.178147653,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,-0.556019396
-0.462515368,-0.157238266,-0.928704913,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.191094853
0.954139085,-0.573860809,1.553907564,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.173829691
0.815506234,-0.041509782,1.438437216,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.269027398
0.438598168,1.491892634,-0.870969739,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1.945564793
-1.476268096,-0.868968444,-0.178147653,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-1.529151512
-0.917404412,-1.042561171,0.341468912,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,-1.428665044
-1.411283946,0.114723672,-1.101910435,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-1.042585454
1.655967897,-0.128306145,0.45693926,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.982586124
-1.294312478,-1.216153897,-0.293618,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-0.64063958
1.616977408,0.27674355,-1.621527,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.607508134
-1.346299797,0.259384277,-0.870969739,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,-1.671948073
1.253066172,0.363539913,-1.101910435,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0.707994602
0.25664255,-0.301898872,1.092026173,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0.676262033
1.144759257,-0.730094263,-0.004942131,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1.384956074
0.460259551,-0.597006506,-1.101910435,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.586353088
0.928145426,1.162066454,0.225998565,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.755593456
0.798177127,0.432977003,-0.235882826,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.126230837
-0.835091157,-0.353976689,-0.235882826,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,-0.809879948
1.504338216,0.392472034,-1.044175261,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0.824347355
0.494917764,-0.521782992,0.45693926,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0.808481071
-1.034375881,1.260435666,1.092026173,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.232006067
-0.674796922,0.791735304,-0.062677305,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.422401481
0.109345145,-1.383960199,-1.217380783,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,-0.281003798
1.318050321,-1.540193653,-0.813234565,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.686839556
1.023455511,-1.621203592,-0.640029044,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.015166846
-0.687793752,-1.638562864,1.322966869,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.629637981
0.650879722,-0.012577661,0.399204086,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.411823958
-1.70154648,-1.106211837,1.49617239,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-2.26963101
-0.583819113,0.60656973,-0.640029044,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.450244166
1.175085193,-0.058869055,1.265231695,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-0.080030861
-1.211999222,-1.41289232,1.034290999,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,-1.44982009
-0.510170411,-1.702213531,1.553907564,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,-0.265137514
-1.70154648,-1.609630743,-0.870969739,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.90994234
-1.653891437,0.114723672,1.553907564,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.910366417
-1.229328329,0.299889246,0.572409608,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.825746233
-1.385290287,-0.510210143,0.803350304,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,-1.34404486
-0.037952259,-1.464970138,-1.101910435,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.450244166
1.38303447,1.509251907,-0.986440087,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0.861368686
-1.441609883,-0.330830993,1.669377912,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,-0.667083388
1.279059832,-0.244034629,0.976555825,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.760882217
0.581563297,-0.411840932,1.322966869,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.42908912
-1.15134735,-1.528620804,-0.813234565,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,-1.809455872
-0.731116518,0.728084638,-0.004942131,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,-0.49784302
-1.064701817,0.571851184,0.110528217,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0.692128318
0.997461852,-1.164076079,-0.813234565,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-0.265137514
0.776515744,-0.805317778,-1.217380783,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.143495999
-0.679129198,0.161015065,-1.101910435,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,-0.593040727
-1.549916798,-0.429200204,-0.640029044,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,-2.042161378
-1.15134735,1.700203906,-0.293618,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,-0.762281095
0.447262721,-0.012577661,-1.679262174,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.147385883
-1.424280776,1.324086332,-0.062677305,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-0.312736367
0.122341975,-1.025201898,0.110528217,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.898390016
0.386610849,0.195733611,-0.062677305,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0.919545062
0.646547446,-0.620152203,0.341468912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.173829691
-1.302977031,1.509251907,-1.448321478,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,-0.0747421
-0.141926898,0.178374338,1.322966869,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0.173829691
-0.128930068,0.531346215,-0.928704913,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-0.714682241
1.157756086,-1.470756562,-0.235882826,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.200273498
-0.111600962,-0.041509782,1.207496521,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0.073343222
-0.328214793,0.27674355,0.74561513,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.688238434
-1.307309308,-0.730094263,0.74561513,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,-1.190670776
0.672541105,0.814881001,1.034290999,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0.856079924
0.412604509,-0.116733297,1.611642738,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,-0.058875815
0.750522085,0.213092883,-1.621527,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.374802628
0.53824053,-0.481278022,1.669377912,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.496444142
1.296388938,0.612356154,1.49617239,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1.374378551
1.305053491,-1.378173775,-1.217380783,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.068054461
-0.670464645,0.022140884,-0.697764218,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,-1.34404486
-1.103692307,1.370377726,0.572409608,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-0.60361825
1.474012279,-0.921046262,1.322966869,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.522463873
0.733192978,1.277794938,0.168263391,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.728725572
1.629974237,1.33565918,0.052793043,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0.623374418
-0.0119586,-0.938405535,-1.33285113,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.078631984
1.599648301,-1.459183714,0.74561513,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.903678778
-1.311641584,0.919036637,-0.004942131,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,-0.566596919
0.30862987,1.590261846,-1.390586304,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0.62866318
-0.016290876,-0.851609172,1.438437216,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.390668912
-1.70154648,1.434028392,-0.928704913,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,-1.904653579
-1.069034094,-1.01362905,0.110528217,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,-0.899788894
-1.203334669,-0.487064446,1.149761347,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,-0.291581321
-1.523923138,1.341445604,0.572409608,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,-0.513709304
1.551993258,-0.68380287,-0.928704913,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1.61766158
1.608312854,0.884318092,1.669377912,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1.982586124
1.352708534,-1.227726745,-1.390586304,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1.009454008
1.69062611,-0.42341378,1.034290999,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.982586124
1.144759257,1.526611179,-0.120412479,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.982586124
1.495673662,-0.949978383,-1.506056652,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0.760882217
-1.051704987,0.699152517,-0.870969739,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,-0.561308158
-0.84375571,1.457174089,-1.448321478,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,-0.608907011
1.253066172,0.988473728,-1.044175261,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.45413405
-0.072610472,1.5555433,1.322966869,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1.289758367
0.750522085,1.538184028,-0.697764218,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.258449875
0.213319784,-1.34345523,0.399204086,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0.729149648
-0.674796922,0.351967064,-1.044175261,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,-1.153649446
-0.748445624,-0.255607478,-0.870969739,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,-2.26963101
0.858829,0.635501851,-0.524558696,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.496444142
0.109345145,0.843813122,1.553907564,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,-0.312736367
-0.488509027,-0.886327717,-0.986440087,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.126230837
0.403939955,1.040551545,0.514674434,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0.163252168
-0.28055975,-0.31347172,-0.466823522,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,-0.714682241
-0.089939579,0.542919063,-1.217380783,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,-0.466110451
0.611889233,-0.249821054,0.168263391,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0.512310427
-0.150591451,-0.53335584,-0.466823522,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.152674645
1.556325535,0.670220396,1.265231695,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1.099362953
-0.055281366,0.143655793,1.49617239,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-1.095473069
1.595316024,1.22571712,0.225998565,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0.364225105
1.201078853,0.994260152,-0.697764218,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.681550795
1.352708534,1.277794938,0.110528217,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.232006067
0.910816319,0.919036637,1.322966869,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.982586124
0.360617189,1.44560124,0.572409608,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.432979004
0.109345145,-1.1930082,-1.448321478,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,-1.492130182
0.174329295,0.485054821,-1.506056652,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.120517999
-1.038708158,-1.45339729,-1.217380783,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,-1.761857018
-0.991053115,-0.001004813,0.225998565,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,-0.085319623
-1.619233224,1.254649241,-1.159645609,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-1.386354952
0.84583217,0.780162456,-0.870969739,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.34835882
-1.302977031,0.288316398,0.110528217,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.052188176
0.28263621,0.670220396,0.225998565,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.062341623
-1.259654265,-1.135143958,1.092026173,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,-1.254135914
-1.506594032,1.491892634,-0.235882826,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.296870083
0.113677422,-1.002056201,0.976555825,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,-0.889211371
1.287724385,-1.158289655,-1.448321478,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.559485204
-0.501505857,-1.250872442,0.168263391,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-1.608482935
1.44801862,1.515038331,-0.235882826,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1.982586124
-1.70154648,-0.134092569,1.438437216,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,-1.148360684
-0.120265515,0.114723672,0.74561513,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0.369513866
-1.229328329,-0.42341378,0.630144782,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,-1.243558391
-0.640138709,-1.644349289,1.380702042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-2.063316424
-1.653891437,-1.505475108,-0.870969739,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,-2.26963101
-1.614900947,-1.684854258,0.861085477,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.873345086
0.733192978,0.132082944,1.265231695,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.284893682
0.533908254,-1.065706867,1.669377912,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,-0.450244166
-1.012714498,-0.342403841,-0.235882826,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,-0.476687974
1.387366747,-0.139878994,0.572409608,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.808481071
0.646547446,0.114723672,-1.101910435,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0.295471205
-0.570822283,1.364591301,0.225998565,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-0.714682241
-0.323882516,-1.586485046,-0.178147653,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-0.545441873
-0.722451965,-0.018364085,-1.275115956,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,-0.376201505
1.14042698,-1.279804563,1.438437216,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.364225105
-0.02495543,1.480319786,1.380702042,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0.961855154
-1.268318818,1.44560124,1.611642738,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,-1.613771696
-1.038708158,-1.250872442,-1.101910435,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-1.492130182
-0.709455135,-1.331882381,-1.679262174,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-1.433953805
-0.336879346,-1.355028078,0.861085477,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,-0.249271229
0.317294423,-1.395533048,-0.813234565,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.64063958
1.603980578,-1.187221776,0.45693926,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.305624652
-0.826426603,-1.198794624,0.110528217,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.312736367
-0.596815943,-1.169862503,0.283733739,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.538330158
-1.653891437,-1.221940321,-0.004942131,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,-2.052738901
-0.445186261,-0.42341378,-1.679262174,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,-0.318025129
0.60322468,-0.857395596,-0.813234565,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.718572125
1.599648301,-0.290326023,1.438437216,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.55990928
0.828503064,1.364591301,-0.293618,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.649818226
-1.328970691,-0.515996567,-0.640029044,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,-2.174380415
1.348376257,-0.741667112,-1.679262174,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.369513866
1.170752916,1.439814816,-0.466823522,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1.453709974
-1.082030924,-0.620152203,-0.986440087,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,-0.963254032
1.500005939,-1.314523109,0.052793043,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0.216139783
0.737525255,0.409831306,0.687879956,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1.109940476
0.975800469,-0.759026384,-1.506056652,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.443556527
-0.146259175,0.068432278,0.74561513,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.284893682
-1.038708158,0.930609485,-1.679262174,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,-0.942098986
1.032120065,0.224665732,0.630144782,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.136384284
-0.081275026,1.069483667,-1.217380783,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.554620519
1.616977408,-0.539142264,-0.524558696,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0.131519599
-1.203334669,-1.152503231,-1.33285113,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,-1.645504265
-0.505838134,-0.365549538,0.168263391,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.741126049
0.811173957,-0.307685296,1.034290999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.850791163
0.247977997,0.751230335,0.225998565,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1.501308827
-0.232904707,0.647074699,1.380702042,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,-1.211825822
0.694202489,-0.660657173,-1.621527,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.210851021
0.806841681,1.491892634,-0.524558696,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1.08878543
0.265307104,-0.782172081,-0.409088348,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,-1.180093253
-0.631474156,1.700203906,-0.640029044,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.259848752
0.408272232,-1.621203592,-0.293618,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,-0.582463204
